,property_id,locality_name,postal_code,street_name,house_number,latitude,longitude,property_type,property_subtype,price,type_of_sale,number_of_rooms,living_area,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface_of_good,number_of_facades,swimming_pool,state_of_building,is_belgian
6839,11156765,eigenbrakel,1420,,,,,HOUSE,HOUSE,360000.0,BUY_REGULAR,,145.0,SEMI_EQUIPPED,1.0,,0,1.0,20.0,1.0,70.0,184.0,2.0,,TO_BE_DONE_UP,True
6840,11038335,oostduinkerke,8670,,,,,APARTMENT,FLAT_STUDIO,299000.0,BUY_REGULAR,7.0,35.0,INSTALLED,1.0,,0,,,,,,,,GOOD,True
6841,11144231,chapelle-lez-herlaimont,7160,Haute,20,50.471195,4.2819263,HOUSE,HOUSE,299000.0,BUY_REGULAR,,286.0,INSTALLED,1.0,,0,1.0,50.0,1.0,320.0,500.0,2.0,,GOOD,True
6842,11159138,aarschot,3200,Paolalaan,25,50.9891993,4.8324086,APARTMENT,APARTMENT,283000.0,BUY_REGULAR,,81.0,HYPER_EQUIPPED,1.0,0.0,0,,,,,,4.0,,GOOD,True
6843,10941073,antwerpen,2018,Markgravelei,117,51.1978271,4.4044644,APARTMENT,APARTMENT,475000.0,BUY_REGULAR,,101.0,USA_HYPER_EQUIPPED,1.0,,1,1.0,7.0,1.0,,,2.0,,JUST_RENOVATED,True
6844,10816577,tielt-winge,3390,Leuvensesteenweg,190,50.9100578,4.8850404,APARTMENT_GROUP,APARTMENT_GROUP,,BUY_REGULAR,,,,,,0,,,,,,,,,True
6845,11162666,pelt,3910,Molenstraat,20,51.2288016,5.4428258,HOUSE,HOUSE,195000.0,BUY_REGULAR,,98.0,,,0.0,0,,,,,345.0,4.0,0.0,,True
6846,11146641,jabbeke,8490,Beukendreef,6,51.167887,3.0873452,HOUSE,HOUSE,699000.0,BUY_REGULAR,4.0,,,,,0,,,,,5285.0,4.0,,TO_BE_DONE_UP,True
6847,11153114,koekelberg,1081,Avenue de la Basilique,377,50.8658653,4.3135625,APARTMENT,APARTMENT,260000.0,BUY_REGULAR,,106.0,,1.0,0.0,0,1.0,,,,,2.0,0.0,TO_RENOVATE,True
6848,11160751,drongen,9031,Schuiterstraat,37,51.0470328,3.6487047,HOUSE,HOUSE,425000.0,BUY_REGULAR,,160.0,INSTALLED,1.0,,0,1.0,,,,468.0,3.0,,,True
6849,11154115,grembergen,9200,Bankveldstraat,4,51.0570292,4.117662,HOUSE,VILLA,499000.0,BUY_REGULAR,,196.0,HYPER_EQUIPPED,1.0,,1,1.0,,,,672.0,4.0,,,True
6850,11153810,brecht,2960,Hoge Meerheuvel,13,51.3231014,4.5918514,HOUSE,VILLA,658000.0,BUY_REGULAR,,255.0,,,,0,,,,,0.0,,,,True
6851,11072113,liege,4000,Rue de Campine,388,50.6549293,5.5683728,APARTMENT,APARTMENT,154000.0,BUY_REGULAR,,71.0,SEMI_EQUIPPED,1.0,,0,,,,,,,0.0,GOOD,True
6852,11051514,blankenberge,8370,Willem Tellstraat,70,51.3070468,3.1358273,APARTMENT,APARTMENT,239000.0,BUY_REGULAR,,83.0,INSTALLED,1.0,,0,,,,,,,,GOOD,True
6853,11155353,aalst (9300),9300,Beekveldstraat,9,50.9342033,4.0348332,HOUSE,HOUSE,205000.0,BUY_REGULAR,9.0,139.0,,,,0,,,,,71.0,,,,True
6854,11152851,grobbendonk,2280,Astridplein,30,51.1918994,4.7396217,APARTMENT,APARTMENT,265000.0,BUY_REGULAR,,287.0,SEMI_EQUIPPED,1.0,,1,1.0,5.0,,,,2.0,,TO_RENOVATE,True
6855,10946834,sint-lambrechts-woluwe,1200,Rue Neerveld,101-103,50.8515792,4.4408888,APARTMENT,GROUND_FLOOR,489000.0,BUY_REGULAR,,106.0,USA_HYPER_EQUIPPED,1.0,0.0,0,1.0,8.0,,,,2.0,0.0,AS_NEW,True
